bSSAutoExtenPrhbResnDstcd,CHAR(2),BSS자동연장불가사유,BSS자동연장불가사유,BSS자동연장불가사유,0, 
bSSValuaLnexRpayRatoDstcd,CHAR(1),기한연장상환비율구분,기한연장상환비율구분,기한연장상환비율구분,0, 
bSSValuaYmd,CHAR(8),BSS평가년월일,BSS평가년월일,BSS평가년월일,0, 
lnbzMrpCtrlDstcd,CHAR(2),여신입지급통제구분,여신입지급통제구분,여신입지급통제구분,0, 
sbrganStusDstcd,CHAR(1),대위변제상태구분,대위변제상태구분,대위변제상태구분,0, 
lnbzValuaSysDstcd,CHAR(1),여신평가시스템구분,여신평가시스템구분,여신평가시스템구분,0, 
lastLnbzAthorAplcnNo,CHAR(13),최종여신승인신청번호,최종여신승인신청번호,최종여신승인신청번호,0, 
lastAthorAplcnSerno,DECIMAL(3|0),최종승인신청일련번호,최종승인신청일련번호,최종승인신청일련번호,0, 
lnbzAthorNo,CHAR(20),여신승인번호,여신승인번호,여신승인번호,0, 
grntyIsupolNo,CHAR(18),보증보험증권번호,보증보험증권번호,보증보험증권번호,0, 
kCGFAcno,CHAR(20),신보계좌번호,신보계좌번호,신보계좌번호,0, 
atlnDpstAcno,CHAR(20),자동대출수신계좌번호,자동대출수신계좌번호,자동대출수신계좌번호,0, 
limtAcno,CHAR(20),한도계좌번호,한도계좌번호,한도계좌번호,0, 
modfiBfAcno,CHAR(20),변경전계좌번호,변경전계좌번호,변경전계좌번호,0, 
rpayAllowAcnRegiResnDstcd,CHAR(1),상환허용계좌등록사유,상환허용계좌등록사유,상환허용계좌등록사유,0, 
limtAmus,DECIMAL(18|3),한도사용금액,한도사용금액,한도사용금액,3, 
limtAdcsBal,DECIMAL(18|3),한도대지급잔액,한도대지급잔액,한도대지급잔액,3, 
limtDdlnStartYmd,CHAR(8),한도기한시작년월일,한도기한시작년월일,한도기한시작년월일,0, 
limtAgfLevyYn,CHAR(1),한도약정수수징수여부,한도약정수수징수여부,한도약정수수징수여부,0, 
limtAgfLevyDstcd,CHAR(1),한도약정수수징수구분,한도약정수수징수구분,한도약정수수징수구분,0, 
limtFeeOccurBaseYmd,CHAR(8),한도수수료발생기준일,한도수수료발생기준일,한도수수료발생기준일,0, 
limtUnuseFeeLastCalcYmd,CHAR(8),한도미사용최종계산일,한도미사용최종계산일,한도미사용최종계산일,0, 
limtUnuseFeeCalcAmt,DECIMAL(18|3),한도미사용FEE계산금,한도미사용FEE계산금,한도미사용FEE계산금,3, 
limtUnitAgrePaymtDd,CHAR(2),한도단위약정납입일,한도단위약정납입일,한도단위약정납입일,0, 
infcMgtNo,CHAR(9),투자금융관리번호,투자금융관리번호,투자금융관리번호,0, 
invstTrnhNo,CHAR(3),투자트렌치번호,투자트렌치번호,투자트렌치번호,0, 
infcNth,DECIMAL(5|0),투자금융회차,투자금융회차,투자금융회차,0, 
liablBalCertiIssuncYmd,CHAR(8),부채잔액증명서발급일,부채잔액증명서발급일,부채잔액증명서발급일,0, 
n60DwinLnExeYn,CHAR(1),N60일내대출실행여부,N60일내대출실행여부,N60일내대출실행여부,0, 
reCtrlmAcnDstcd,CHAR(1),재약정한도계좌구분,재약정한도계좌구분,재약정한도계좌구분,0, 
