basc,상품계약기본,상품계약기본
cndn,상품계약조건,상품계약조건
sthist,상품계약상태이력,상품계약상태이력
brn,상품계약부점,상품계약부점
emp,상품계약직원,상품계약직원
irtd,적용금리명세,적용금리명세 Interest Rate Detail List
irtcd,적용금구성명세,적용금리명세 Interest Rate Config Detail List
